"REGION Antonica","",""
"The Arena","arena","x:xx, no npcs"
"Befallen","befallen","19:00"
"Gorge of King Xorbb","beholder","06:40"
"Blackburrow","blackburrow","22:00"
"Lost Temple of Cazic-Thule","cazicthule","22:00"
"West Commonlands","commons","06:40"
"Eastern Plains of Karana","eastkarana","06:40"
"East Commonlands","ecommons","06:40"
"Everfrost","everfrost","06:40"
"The Feerrott","feerrott","06:40"
"East Freeport","freporte","24:00"
"North Freeport","freportn","24:00"
"West Freeport","freportw","24:00"
"Grobb","grobb","24:00"
"Ruins of Old Guk","gukbottom","28:00"
"Guk","guktop","16:30"
"Halas","halas","24:00"
"High Keep","highkeep","10:00 gobs, 18:00 guards, 24:00 ent, 06:00 nobles, 18:00 bards"
"Highpass Hold","highpass","05:00, 22:00 named"
"Innothule Swamp","innothule","06:40"
"Kithicor Woods","kithicor","06:40"
"Lake Rathetear","lakerathe","06:40"
"Lavastorm Mountains","lavastorm","06:40"
"Misty Thicket","misty","06:40"
"Najena","najena","19:00"
"The Nektulos Forest","nektulos","06:40"
"Neriak Foreign Quarter","neriaka","24:00"
"Neriak Commons","neriakb","24:00"
"Neriak Third Gate","neriakc","24:00"
"Northern Plains of Karana","northkarana","06:40"
"Northern Desert of Ro","nro","06:40"
"Oasis of Marr","oasis","16:30"
"Oggok","oggok","24:00"
"Infected Paw","paw","22:00, 28:00 ishva"
"Permafrost Caverns","permafrost","22:00"
"Qeynos Aqueduct System","qcat","12:00, 24:00 specs"
"Western Plains of Karana","qey2hh1","22:00"
"South Qeynos","qeynos","x:xx"
"North Qeynos","qeynos2","x:xx"
"Qeynos Hills","qeytoqrg","06:40"
"Surefall Glade","qrg","06:40"
"Rathe Mountains","rathemtn","06:40"
"Rivervale","rivervale","22:00"
"Runnyeye Citadel","runnyeye","22:00"
"Solusek's Eye","soldunga","18:00"
"Nagafen's Lair","soldungb","22:00, 20:00 freeti guards"
"Temple of Solusek Ro","soltemple","x:xx"
"Southern Plains of Karana","southkarana","06:40"
"Southern Desert of Ro","sro","06:40"
"REGION Faydwer","",""
"Ak'Anon","akanon","24:00"
"Butcherblock Mountains","butcher","10:00, 14:00, 22:00"
"Dagnor's Cauldron","cauldron","x:xx"
"Crushbone","crushbone","09:00"
"Northern Felwithe","felwithea","24:00"
"Southern Felwithe","felwitheb","24:00"
"Greater Faydark","gfaydark","07:05"
"South Kaladim","kaladima","24:00"
"North Kaladim","kaladimb","24:00"
"Kedge Keep","kedge","22:00"
"Lesser Faydark","lfaydark","06:40"
"Castle Mistmoore","mistmoore","22:00"
"Ocean of Tears","oot","06:00"
"Steamfont Mountains","steamfont","06:40"
"Estate of Unrest","unrest","22:00"
"REGION Odus","",""
"Erudin Palace","erudint","25:00"
"Erudin","erudnext","22:00"
"Erud's Crossing","erudsxing","06:40"
"The Hole","hole","21:30"
"Kerra Isle","kerraridge","17:45"
"Paineel","paineel","10:30"
"Stonebrunt Mountains","stonebrunt","11:10"
"Toxxulia Forest","toxxulia","06:40"
"Warrens","warrens","06:40"
"REGION Kunark","",""
"The Burning Wood","burningwood","06:40"
"Cabilis East","cabeast","06:40"
"Cabilis West","cabwest","06:40"
"Howling Stones","charasis","20:30"
"Chardok","chardok","20:00, 12:00 queen guards"
"The City of Mist","citymist","22:00"
"Dalnir","dalnir","12:00"
"Dreadlands","dreadlands","06:40"
"Temple of Droga","droga","20:30"
"The Emerald Jungle","emeraldjungle","06:40"
"Field of Bone","fieldofbone","06:40"
"Firiona Vie","firiona","06:40"
"Frontier Mountains","frontiermtns","06:40"
"Kaesora","kaesora","18:00, 30:00 xalgoz"
"Karnor's Castle","karnor","27:00"
"Kurn's Tower","kurn","18:30"
"Lake of Ill Omen","lakeofillomen","06:40, 13:00 bloodgills"
"Mines of Nurga","nurga","20:30"
"The Overthere","overthere","06:40"
"Old Sebilis","sebilis","27:00, 24:00 pats"
"Skyfire Mountains","skyfire","13:00"
"Swamp Of No Hope","swampofnohope","06:40"
"Timorous Deep","timorous","12:00"
"Trakanon's Teeth","trakanon","06:40"
"Veeshan's Peak","veeshan","x:xx"
"Warsliks Woods","warslikswood","06:40"
"REGION Velious","",""
"Cobalt Scar","cobaltscar","20:00"
"Crystal Caverns","crystal","14:45, 20:00 queen"
"Eastern Wastelands","eastwastes","06:40"
"Tower of Frozen Shadow","frozenshadow","20:00"
"Great Divide","greatdivide","10:40"
"Iceclad Ocean","iceclad","06:40"
"Kael Drakkel","kael","28:00"
"Dragon Necropolis","necropolis","27:00"
"Sirens Grotto","sirens","28:00"
"Skyshrine","skyshrine","30:00"
"Sleepers Tomb","sleeper","08hours"
"Temple of Veeshan","templeveeshan","72:00"
"City of Thurgadin","thurgadina","07:00"
"Icewell Keep","thurgadinb","21:00"
"Velketor's Labyrinth","velketor","32:50"
"The Wakening Lands","wakening","06:40, 07:00 dragons, 14:30 suits"
"Western Wastelands","westwastes","x:xx"
"REGION The Planes","",""
"Plane of Air","airplane","08hours"
"Plane of Fear","fearplane","08hours"
"Plane of Hate","hateplane","08hours"
"Plane of Growth","growthplane","12hours"
"Plane of Mischief","mischiefplane","72:00"
